filename,sqlsolver result,sqlsolver duration,cvc5 result,cvc5 duration,sls result,sls duration
calcite/query013-call-0.smt2,unsat,0.08,unsat,0.031,unsat,0.118
calcite/query026-call-0.smt2,sat,0.015,sat,0.082,error,0.1
calcite/query026-call-1.smt2,sat,0.014,sat,0.08,error,0.099
calcite/query026-call-2.smt2,sat,0.014,sat,0.081,error,0.106
calcite/query026-call-3.smt2,sat,0.011,sat,0.084,error,0.1
calcite/query026-call-4.smt2,sat,0.019,unsat,0.059,error,0.106
calcite/query029-call-0.smt2,error,0.004,crash,0.049,error,0.112
calcite/query039-call-0.smt2,unsat,0.017,unsat,0.149,sat,0.566
calcite/query040-call-0.smt2,unsat,0.013,unsat,0.064,error,0.1
calcite/query044-call-0.smt2,unsat,0.017,unsat,0.421,sat,0.269
calcite/query050-call-0.smt2,unsat,0.029,timeout,100.038,unsat,0.239
calcite/query051-call-0.smt2,unsat,0.017,unsat,0.15,sat,0.238
calcite/query053-call-0.smt2,error,0.15,crash,0.897,error,2.947
calcite/query059-call-0.smt2,sat,0.016,sat,0.039,timeout,100.008
calcite/query062-call-0.smt2,error,0.01,crash,0.055,error,0.141
calcite/query062-call-1.smt2,error,0.007,crash,0.052,error,0.151
calcite/query062-call-2.smt2,error,0.008,crash,0.055,error,0.148
calcite/query062-call-3.smt2,error,0.007,crash,0.056,error,0.156
calcite/query062-call-4.smt2,timeout,100.0,crash,0.058,error,0.113
calcite/query065-call-0.smt2,error,1.12,crash,0.202,error,0.651
calcite/query073-call-0.smt2,error,0.005,unsat,0.037,error,0.117
calcite/query076-call-0.smt2,unsat,0.123,unsat,0.05,error,0.113
calcite/query082-call-0.smt2,unsat,0.014,unsat,0.16,sat,0.33
calcite/query084-call-0.smt2,error,0.029,crash,0.194,error,0.657
calcite/query088-call-0.smt2,unsat,0.046,unsat,0.033,error,0.113
calcite/query089-call-0.smt2,sat,0.011,crash,0.044,sat,2.239
calcite/query115-call-0.smt2,unsat,0.039,crash,0.045,sat,0.448
calcite/query116-call-0.smt2,error,0.002,crash,0.048,error,0.103
calcite/query120-call-0.smt2,unsat,0.012,unsat,0.247,sat,0.264
calcite/query126-call-0.smt2,sat,0.021,sat,0.069,error,0.114
calcite/query126-call-1.smt2,sat,0.018,sat,0.066,error,0.113
calcite/query126-call-2.smt2,sat,0.02,sat,0.066,error,0.117
calcite/query126-call-3.smt2,sat,0.019,sat,0.07,error,0.113
calcite/query126-call-4.smt2,sat,0.013,sat,0.046,error,0.115
calcite/query126-call-5.smt2,sat,0.014,sat,0.041,error,0.112
calcite/query126-call-6.smt2,sat,0.014,sat,0.04,error,0.115
calcite/query126-call-7.smt2,sat,0.013,sat,0.042,error,0.112
calcite/query127-call-0.smt2,unsat,0.241,unsat,0.063,error,0.118
calcite/query143-call-0.smt2,unsat,0.063,unsat,0.051,error,0.112
calcite/query148-call-0.smt2,unsat,0.058,crash,0.045,sat,0.635
calcite/query151-call-0.smt2,unsat,0.071,unsat,0.055,error,0.112
calcite/query153-call-0.smt2,error,0.002,unsat,0.031,error,0.1
calcite/query156-call-0.smt2,unsat,0.012,unsat,0.144,sat,0.248
calcite/query161-call-0.smt2,error,0.002,unsat,0.038,error,0.13
calcite/query162-call-0.smt2,unsat,0.101,unsat,0.045,error,0.115
calcite/query172-call-0.smt2,unsat,0.01,unsat,0.032,unsat,0.163
calcite/query176-call-0.smt2,unsat,0.065,unsat,0.055,error,0.114
calcite/query176-call-1.smt2,unsat,0.071,unsat,0.05,error,0.109
calcite/query183-call-0.smt2,unsat,0.068,unsat,0.048,error,0.109
calcite/query185-call-0.smt2,error,0.002,unsat,0.036,error,0.124
calcite/query190-call-0.smt2,unsat,0.02,crash,0.044,sat,0.222
calcite/query191-call-0.smt2,unsat,0.06,unsat,0.047,error,0.128
calcite/query191-call-1.smt2,unsat,0.049,unsat,0.045,error,0.119
calcite/query193-call-0.smt2,sat,0.008,sat,0.032,sat,0.151
calcite/query193-call-1.smt2,sat,0.007,sat,0.031,sat,0.154
calcite/query193-call-2.smt2,sat,0.008,sat,0.031,sat,0.152
calcite/query193-call-3.smt2,sat,0.007,sat,0.031,sat,0.153
calcite/query193-call-4.smt2,sat,0.007,sat,0.034,sat,0.154
calcite/query193-call-5.smt2,sat,0.007,sat,0.033,sat,0.153
calcite/query193-call-6.smt2,sat,0.007,sat,0.03,sat,0.179
calcite/query193-call-7.smt2,sat,0.006,sat,0.031,sat,0.152
calcite/query195-call-0.smt2,unsat,0.008,unsat,0.03,unsat,0.124
calcite/query202-call-0.smt2,error,0.002,unsat,0.033,error,0.106
calcite/query205-call-0.smt2,error,0.002,unsat,0.035,error,0.104
calcite/query207-call-0.smt2,unsat,2.237,unsat,0.07,error,0.11
calcite/query211-call-0.smt2,unsat,0.058,unsat,0.039,error,0.12
calcite/query211-call-1.smt2,unsat,0.064,unsat,0.04,error,0.12
calcite/query215-call-0.smt2,error,0.002,crash,0.044,error,0.114
calcite/query218-call-0.smt2,unsat,0.206,unsat,0.066,error,0.116
calcite/query218-call-1.smt2,unsat,0.331,unsat,0.067,error,0.149
calcite/query219-call-0.smt2,unsat,0.013,unsat,0.252,timeout,100.016
calcite/query220-call-0.smt2,error,0.003,unsat,0.04,error,0.131
calcite/query222-call-0.smt2,sat,0.009,sat,0.036,error,0.111
calcite/query222-call-1.smt2,sat,0.009,sat,0.033,error,0.114
calcite/query222-call-2.smt2,sat,0.011,sat,0.036,sat,19.384
calcite/query222-call-3.smt2,sat,0.011,sat,0.032,sat,19.398
calcite/query222-call-4.smt2,error,0.002,crash,0.052,error,0.119
calcite/query222-call-5.smt2,error,0.002,crash,0.06,error,0.125
calcite/query222-call-6.smt2,error,0.002,crash,0.071,error,0.117
calcite/query222-call-7.smt2,error,0.002,crash,0.061,error,0.117
spark/query003-call-0.smt2,error,0.001,unsat,0.032,error,0.1
spark/query004-call-0.smt2,error,0.001,unsat,0.033,error,0.099
spark/query015-call-0.smt2,error,0.002,sat,0.032,error,0.102
spark/query015-call-1.smt2,error,0.002,sat,0.031,error,0.1
spark/query015-call-2.smt2,error,0.001,sat,0.032,error,0.105
spark/query015-call-3.smt2,error,0.002,sat,0.031,error,0.101
spark/query015-call-4.smt2,error,0.001,sat,0.029,error,0.104
spark/query015-call-5.smt2,error,0.002,sat,0.03,error,0.102
spark/query015-call-6.smt2,error,0.002,sat,0.03,error,0.105
spark/query015-call-7.smt2,error,0.003,sat,0.03,error,0.105
spark/query035-call-0.smt2,unsat,0.031,unsat,0.041,error,0.107
spark/query036-call-0.smt2,unsat,0.026,unsat,0.038,error,0.103
spark/query048-call-0.smt2,unsat,0.164,unsat,0.067,error,0.144
spark/query048-call-1.smt2,unsat,0.198,unsat,0.066,error,0.149
spark/query054-call-0.smt2,sat,0.011,sat,0.038,error,0.11
spark/query054-call-1.smt2,sat,0.009,sat,0.037,error,0.105
spark/query054-call-10.smt2,sat,0.009,sat,0.036,error,0.108
spark/query054-call-11.smt2,sat,0.009,sat,0.037,error,0.13
spark/query054-call-12.smt2,sat,0.01,sat,0.039,error,0.113
spark/query054-call-13.smt2,sat,0.008,sat,0.04,error,0.115
spark/query054-call-14.smt2,sat,0.011,sat,0.04,error,0.111
spark/query054-call-15.smt2,sat,0.008,sat,0.041,error,0.107
spark/query054-call-16.smt2,sat,0.009,sat,0.04,error,0.112
spark/query054-call-17.smt2,sat,0.009,sat,0.038,error,0.112
spark/query054-call-2.smt2,sat,0.009,sat,0.036,error,0.106
spark/query054-call-3.smt2,sat,0.009,sat,0.038,error,0.106
spark/query054-call-4.smt2,sat,0.008,sat,0.037,error,0.105
spark/query054-call-5.smt2,sat,0.008,sat,0.037,error,0.109
spark/query054-call-6.smt2,sat,0.008,sat,0.036,error,0.106
spark/query054-call-7.smt2,sat,0.008,sat,0.038,error,0.114
spark/query054-call-8.smt2,sat,0.012,sat,0.04,error,0.105
spark/query054-call-9.smt2,sat,0.011,sat,0.036,error,0.108
spark/query055-call-0.smt2,sat,0.022,sat,0.048,error,0.122
spark/query055-call-1.smt2,sat,0.014,sat,0.049,error,0.112
spark/query055-call-10.smt2,sat,0.014,sat,0.052,error,0.109
spark/query055-call-11.smt2,sat,0.015,sat,0.048,error,0.114
spark/query055-call-12.smt2,sat,0.014,sat,0.053,error,0.123
spark/query055-call-13.smt2,sat,0.014,sat,0.052,error,0.115
spark/query055-call-14.smt2,sat,0.057,sat,0.048,error,0.115
spark/query055-call-15.smt2,sat,0.013,sat,0.045,error,0.114
spark/query055-call-16.smt2,sat,0.015,sat,0.045,error,0.114
spark/query055-call-17.smt2,sat,0.015,sat,0.044,error,0.116
spark/query055-call-2.smt2,sat,0.013,sat,0.045,error,0.113
spark/query055-call-3.smt2,sat,0.015,sat,0.044,error,0.111
spark/query055-call-4.smt2,sat,0.014,sat,0.051,error,0.114
