duplicate (removed),kept representative,match kind
calcite-query195-call-0.smt2,calcite-query013-call-0.smt2,identical canonical form
calcite-query051-call-0.smt2,calcite-query039-call-0.smt2,alpha-equivalence (variable bijection)
calcite-query082-call-0.smt2,calcite-query039-call-0.smt2,alpha-equivalence (variable bijection)
calcite-query126-call-1.smt2,calcite-query126-call-0.smt2,identical canonical form
calcite-query126-call-2.smt2,calcite-query126-call-0.smt2,identical canonical form
calcite-query126-call-3.smt2,calcite-query126-call-0.smt2,identical canonical form
calcite-query126-call-5.smt2,calcite-query126-call-4.smt2,identical canonical form
calcite-query126-call-6.smt2,calcite-query126-call-4.smt2,identical canonical form
calcite-query126-call-7.smt2,calcite-query126-call-4.smt2,identical canonical form
calcite-query183-call-0.smt2,calcite-query151-call-0.smt2,identical canonical form
calcite-query176-call-1.smt2,calcite-query176-call-0.smt2,identical canonical form
calcite-query191-call-1.smt2,calcite-query191-call-0.smt2,identical canonical form
calcite-query193-call-1.smt2,calcite-query193-call-0.smt2,identical canonical form
calcite-query193-call-2.smt2,calcite-query193-call-0.smt2,identical canonical form
calcite-query193-call-3.smt2,calcite-query193-call-0.smt2,identical canonical form
calcite-query193-call-5.smt2,calcite-query193-call-4.smt2,identical canonical form
calcite-query193-call-6.smt2,calcite-query193-call-4.smt2,identical canonical form
calcite-query193-call-7.smt2,calcite-query193-call-4.smt2,identical canonical form
calcite-query211-call-1.smt2,calcite-query211-call-0.smt2,identical canonical form
calcite-query218-call-1.smt2,calcite-query218-call-0.smt2,identical canonical form
calcite-query222-call-1.smt2,calcite-query222-call-0.smt2,identical canonical form
calcite-query222-call-3.smt2,calcite-query222-call-2.smt2,identical canonical form
spark-query036-call-0.smt2,spark-query035-call-0.smt2,identical canonical form
spark-query048-call-1.smt2,spark-query048-call-0.smt2,identical canonical form
spark-query054-call-1.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-10.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-11.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-12.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-13.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-14.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-15.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-16.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-17.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-2.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-3.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-4.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-5.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-6.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-7.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-8.smt2,spark-query054-call-0.smt2,identical canonical form
spark-query054-call-9.smt2,spark-query054-call-0.smt2,identical canonical form
