filename,reduction,ground_truth_N,ground_truth_Z,cvc5,sqlsolver,sls
linear/calcite-query013-call-0.smt2,ok,unsat,unsat,unsat,unsat,unsat
linear/calcite-query039-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query040-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query044-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query051-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query059-call-0.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query076-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query082-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query088-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query120-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query126-call-0.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query126-call-1.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query126-call-2.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query126-call-3.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query126-call-4.smt2,ok,sat,sat,sat,sat,sat
linear/calcite-query126-call-5.smt2,ok,sat,sat,sat,sat,sat
linear/calcite-query126-call-6.smt2,ok,sat,sat,sat,sat,sat
linear/calcite-query126-call-7.smt2,ok,sat,sat,sat,sat,sat
linear/calcite-query151-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query156-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query162-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query172-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query176-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query176-call-1.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query183-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query191-call-0.smt2,ok,unsat,unsat,unsat,unsat,unsat
linear/calcite-query191-call-1.smt2,ok,unsat,unsat,unsat,unsat,unsat
linear/calcite-query193-call-0.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query193-call-1.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query193-call-2.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query193-call-3.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query193-call-4.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query193-call-5.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query193-call-6.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query193-call-7.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query195-call-0.smt2,ok,unsat,unsat,unsat,unsat,unsat
linear/calcite-query207-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query211-call-0.smt2,ok,unsat,unsat,unsat,unsat,unsat
linear/calcite-query211-call-1.smt2,ok,unsat,unsat,unsat,unsat,unsat
linear/calcite-query218-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query218-call-1.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query219-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/calcite-query222-call-0.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query222-call-1.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query222-call-2.smt2,inapplicable,,,sat,sat,sat
linear/calcite-query222-call-3.smt2,inapplicable,,,sat,sat,sat
linear/spark-query035-call-0.smt2,ok,unsat,unsat,unsat,unsat,unsat
linear/spark-query036-call-0.smt2,ok,unsat,unsat,unsat,unsat,unsat
linear/spark-query048-call-0.smt2,ok,unsat,unsat,unsat,unsat,unsat
linear/spark-query048-call-1.smt2,ok,unsat,unsat,unsat,unsat,unsat
linear/spark-query054-call-0.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-1.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-10.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-11.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-12.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-13.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-14.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-15.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-16.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-17.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-2.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-3.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-4.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-5.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-6.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-7.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-8.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query054-call-9.smt2,ok,sat,sat,sat,sat,sat
linear/spark-query089-call-0.smt2,inapplicable,,,unsat,unsat,unsat
linear/spark-query090-call-2.smt2,inapplicable,,,unsat,unsat,unsat
