sqlsolver file,sqlsolver result,sql duration
query013-call-0.smt2,UNSAT,0.008574209
query026-call-0.smt2,SAT,0.005216834
query026-call-1.smt2,SAT,0.004537
query026-call-2.smt2,SAT,0.004032833
query026-call-3.smt2,SAT,0.003746
query026-call-4.smt2,UNSAT,0.058799458
query029-call-0.smt2,UNSAT,0.044718042
query039-call-0.smt2,UNSAT,0.006324583
query040-call-0.smt2,UNSAT,0.006693625
query044-call-0.smt2,UNSAT,0.006676041
query050-call-0.smt2,UNSAT,0.010136458
query051-call-0.smt2,UNSAT,0.006178666
query053-call-0.smt2,UNSAT,0.421100375
query059-call-0.smt2,UNSAT,0.048588542
query062-call-0.smt2,SAT,0.005427083
query062-call-1.smt2,SAT,0.005479125
query062-call-2.smt2,SAT,0.005505
query062-call-3.smt2,SAT,0.005401208
query062-call-4.smt2,UNSAT,0.006735333
query065-call-0.smt2,UNSAT,0.230189667
query073-call-0.smt2,UNSAT,0.014429875
query076-call-0.smt2,UNSAT,0.026553709
query082-call-0.smt2,UNSAT,0.006102667
query084-call-0.smt2,UNSAT,0.226707375
query088-call-0.smt2,UNSAT,0.007423333
query089-call-0.smt2,UNSAT,0.024857917
query115-call-0.smt2,UNSAT,0.019237792
query116-call-0.smt2,UNSAT,11.027712417
query120-call-0.smt2,UNSAT,0.006344959
query126-call-0.smt2,SAT,0.003725541
query126-call-1.smt2,SAT,0.003470875
query126-call-2.smt2,SAT,0.003764584
query126-call-3.smt2,SAT,0.004100541
query126-call-4.smt2,SAT,0.003797
query126-call-5.smt2,SAT,0.003586541
query126-call-6.smt2,SAT,0.003268334
query126-call-7.smt2,SAT,0.003475541
query127-call-0.smt2,UNSAT,0.0709215
query143-call-0.smt2,UNSAT,0.02921825
query148-call-0.smt2,UNSAT,0.015095333
query151-call-0.smt2,UNSAT,0.011775292
query153-call-0.smt2,UNSAT,0.002437833
query156-call-0.smt2,UNSAT,0.00628975
query161-call-0.smt2,UNSAT,0.010744708
query162-call-0.smt2,UNSAT,0.063668083
query172-call-0.smt2,UNSAT,0.004800375
query176-call-0.smt2,SAT,0.0216785
query176-call-1.smt2,UNSAT,0.026572917
query183-call-0.smt2,UNSAT,0.011336959
query185-call-0.smt2,UNSAT,0.013329166
query190-call-0.smt2,UNSAT,0.011165
query191-call-0.smt2,SAT,0.23182025
query191-call-1.smt2,UNSAT,0.063136459
query193-call-0.smt2,SAT,0.00355225
query193-call-1.smt2,SAT,0.003391042
query193-call-2.smt2,SAT,0.003487209
query193-call-3.smt2,SAT,0.003288667
query193-call-4.smt2,SAT,0.00339025
query193-call-5.smt2,SAT,0.003266792
query193-call-6.smt2,SAT,0.003324375
query193-call-7.smt2,SAT,0.003171834
query195-call-0.smt2,UNSAT,0.004672917
query202-call-0.smt2,UNSAT,0.003042916
query205-call-0.smt2,UNSAT,0.004251417
query207-call-0.smt2,UNSAT,0.019885083
query211-call-0.smt2,SAT,0.187148209
query211-call-1.smt2,UNSAT,0.042992958
query215-call-0.smt2,UNSAT,0.013524542
query218-call-0.smt2,SAT,0.031286416
query218-call-1.smt2,UNSAT,0.044084375
query219-call-0.smt2,UNSAT,0.006134458
query220-call-0.smt2,UNSAT,0.296347792
query222-call-0.smt2,SAT,0.003416292
query222-call-1.smt2,SAT,0.003269625
query222-call-2.smt2,SAT,0.004159542
query222-call-3.smt2,SAT,0.003958209
query222-call-4.smt2,SAT,0.007524292
query222-call-5.smt2,SAT,0.007745375
query222-call-6.smt2,SAT,0.170140666
query222-call-7.smt2,UNSAT,0.098443625
