sqlsolver file,sqlsolver result,sql duration
query003-call-0.smt2,UNSAT,0.005803833
query004-call-0.smt2,UNSAT,0.003153
query015-call-0.smt2,SAT,0.003329084
query015-call-1.smt2,SAT,0.002683208
query015-call-2.smt2,SAT,0.002662875
query015-call-3.smt2,SAT,0.002586125
query015-call-4.smt2,SAT,0.00258925
query015-call-5.smt2,SAT,0.002720417
query015-call-6.smt2,SAT,0.002490166
query015-call-7.smt2,SAT,0.002281542
query035-call-0.smt2,UNSAT,0.009722709
query036-call-0.smt2,UNSAT,0.008509917
query048-call-0.smt2,SAT,0.46035525
query048-call-1.smt2,UNSAT,0.10914475
query054-call-0.smt2,SAT,0.003052375
query054-call-1.smt2,SAT,0.002750166
query054-call-2.smt2,SAT,0.002760792
query054-call-3.smt2,SAT,0.002706875
query054-call-4.smt2,SAT,0.002831584
query054-call-5.smt2,SAT,0.002707917
query054-call-6.smt2,SAT,0.003936958
query054-call-7.smt2,SAT,0.003991417
query054-call-8.smt2,SAT,0.003616708
query054-call-9.smt2,SAT,0.003084417
query054-call-10.smt2,SAT,0.003004
query054-call-11.smt2,SAT,0.002713959
query054-call-12.smt2,SAT,0.003121833
query054-call-13.smt2,SAT,0.002817541
query054-call-14.smt2,SAT,0.002936084
query054-call-15.smt2,SAT,0.002837541
query054-call-16.smt2,SAT,0.002604583
query054-call-17.smt2,SAT,0.002643083
query055-call-0.smt2,SAT,0.004863042
query055-call-1.smt2,SAT,0.004817542
query055-call-2.smt2,SAT,0.0048665
query055-call-3.smt2,SAT,0.0054975
query055-call-4.smt2,SAT,0.0052985
query055-call-5.smt2,SAT,0.0044905
query055-call-6.smt2,SAT,0.004731417
query055-call-7.smt2,SAT,0.004679792
query055-call-8.smt2,SAT,0.004644625
query055-call-9.smt2,SAT,0.0043405
query055-call-10.smt2,SAT,0.004408625
query055-call-11.smt2,SAT,0.00460125
query055-call-12.smt2,SAT,0.004559417
query055-call-13.smt2,SAT,0.004412792
query055-call-14.smt2,SAT,0.004379709
query055-call-15.smt2,SAT,0.003964875
query055-call-16.smt2,SAT,0.004889167
query055-call-17.smt2,SAT,0.004468875
query070-call-0.smt2,UNSAT,0.027274625
query089-call-0.smt2,UNSAT,0.007607833
query090-call-0.smt2,UNKNOWN,0.001501916
query090-call-1.smt2,UNKNOWN,0.001238875
query090-call-2.smt2,UNSAT,0.014797375
query106-call-0.smt2,UNSAT,0.046231541
query107-call-0.smt2,UNSAT,0.044541667
