sqlsolver file,sqlsolver result,sql duration
query005-call-0.smt2,UNSAT,10.889662459
query007-call-0.smt2,SAT,0.172796125
query007-call-1.smt2,SAT,0.14746775
query007-call-2.smt2,SAT,0.252380167
query007-call-3.smt2,SAT,0.1844365
query007-call-4.smt2,SAT,0.119586458
query007-call-5.smt2,SAT,0.313356333
query007-call-6.smt2,SAT,0.16092475
query007-call-7.smt2,SAT,0.132638875
query007-call-8.smt2,SAT,0.252524041
query007-call-9.smt2,SAT,0.168859542
query007-call-10.smt2,SAT,0.200256792
query007-call-11.smt2,SAT,0.808162833
query007-call-12.smt2,SAT,0.166131542
query007-call-13.smt2,SAT,0.172448084
query007-call-14.smt2,SAT,0.2757185
query007-call-15.smt2,SAT,0.328838958
query007-call-16.smt2,SAT,0.147861375
query007-call-17.smt2,SAT,0.249651208
query007-call-18.smt2,SAT,0.163640292
query007-call-19.smt2,SAT,0.170048833
query007-call-20.smt2,SAT,0.010508458
query007-call-21.smt2,SAT,0.012503417
query007-call-22.smt2,SAT,0.014674375
query007-call-23.smt2,SAT,0.010264708
query007-call-24.smt2,SAT,0.014533458
query007-call-25.smt2,SAT,0.016506584
query007-call-26.smt2,SAT,0.014651458
query007-call-27.smt2,SAT,0.010425416
query007-call-28.smt2,SAT,0.010910917
query007-call-29.smt2,SAT,0.01107675
query007-call-30.smt2,SAT,0.0102085
query007-call-31.smt2,SAT,0.01220825
query007-call-32.smt2,SAT,0.0116645
query007-call-33.smt2,SAT,0.0136395
query007-call-34.smt2,SAT,0.009690291
query007-call-35.smt2,SAT,0.013805833
query007-call-36.smt2,SAT,0.010314625
query007-call-37.smt2,SAT,0.01266025
query007-call-38.smt2,SAT,0.013294584
query007-call-39.smt2,SAT,0.012793
query007-call-40.smt2,SAT,0.01652825
query007-call-41.smt2,SAT,0.010166667
query007-call-42.smt2,SAT,0.01298125
query007-call-43.smt2,SAT,0.009218417
query007-call-44.smt2,SAT,0.015696709
query007-call-45.smt2,SAT,0.010006959
query007-call-46.smt2,SAT,0.014322083
query007-call-47.smt2,SAT,0.01182875
query007-call-48.smt2,SAT,0.012727458
query007-call-49.smt2,SAT,0.012415625
query007-call-50.smt2,SAT,0.011262541
query007-call-51.smt2,SAT,0.009693125
query007-call-52.smt2,SAT,0.016061083
query007-call-53.smt2,SAT,0.012154875
query007-call-54.smt2,SAT,0.0116825
query007-call-55.smt2,SAT,0.009685833
query007-call-56.smt2,SAT,0.009793917
query007-call-57.smt2,SAT,0.01150975
query007-call-58.smt2,SAT,0.012365917
query007-call-59.smt2,SAT,0.011787542
query007-call-60.smt2,SAT,0.045262958
query007-call-61.smt2,SAT,0.081170459
