filename,result,duration
cvc5/linear/calcite-query013-call-0.smt2,UNSAT,0.659
cvc5/linear/calcite-query039-call-0.smt2,UNSAT,0.021
cvc5/linear/calcite-query040-call-0.smt2,UNSAT,0.019
cvc5/linear/calcite-query044-call-0.smt2,UNSAT,0.020
cvc5/linear/calcite-query059-call-0.smt2,SAT,0.021
cvc5/linear/calcite-query076-call-0.smt2,UNSAT,0.131
cvc5/linear/calcite-query088-call-0.smt2,UNSAT,0.039
cvc5/linear/calcite-query120-call-0.smt2,UNSAT,0.016
cvc5/linear/calcite-query126-call-0.smt2,SAT,0.021
cvc5/linear/calcite-query126-call-4.smt2,SAT,0.017
cvc5/linear/calcite-query151-call-0.smt2,UNSAT,0.055
cvc5/linear/calcite-query156-call-0.smt2,UNSAT,0.016
cvc5/linear/calcite-query162-call-0.smt2,UNSAT,0.078
cvc5/linear/calcite-query172-call-0.smt2,UNSAT,0.015
cvc5/linear/calcite-query176-call-0.smt2,UNSAT,0.060
cvc5/linear/calcite-query191-call-0.smt2,UNSAT,0.042
cvc5/linear/calcite-query193-call-0.smt2,SAT,0.013
cvc5/linear/calcite-query193-call-4.smt2,SAT,0.012
cvc5/linear/calcite-query207-call-0.smt2,UNSAT,1.353
cvc5/linear/calcite-query211-call-0.smt2,UNSAT,0.044
cvc5/linear/calcite-query218-call-0.smt2,UNSAT,0.102
cvc5/linear/calcite-query219-call-0.smt2,UNSAT,0.015
cvc5/linear/calcite-query222-call-0.smt2,SAT,0.014
cvc5/linear/calcite-query222-call-2.smt2,SAT,0.013
cvc5/linear/spark-query035-call-0.smt2,UNSAT,0.025
cvc5/linear/spark-query048-call-0.smt2,UNSAT,0.108
cvc5/linear/spark-query054-call-0.smt2,SAT,0.016
cvc5/linear/spark-query089-call-0.smt2,UNSAT,0.016
cvc5/linear/spark-query090-call-2.smt2,UNSAT,0.032
