sqlsolver file,sqlsolver result,sql duration
query013-call-0.smt2,UNSAT,0.025709956
query026-call-0.smt2,SAT,0.01041892
query026-call-1.smt2,SAT,0.009728453
query026-call-2.smt2,SAT,0.009674859
query026-call-3.smt2,SAT,0.008137546
query026-call-4.smt2,UNSAT,0.218256677
query029-call-0.smt2,UNSAT,0.088867245
query039-call-0.smt2,UNSAT,0.014938123
query040-call-0.smt2,UNSAT,0.016939859
query044-call-0.smt2,UNSAT,0.01880856
query050-call-0.smt2,UNSAT,0.033284012
query051-call-0.smt2,UNSAT,0.014005484
query053-call-0.smt2,UNSAT,0.657337634
query059-call-0.smt2,UNSAT,0.096662763
query062-call-0.smt2,SAT,0.01137781
query062-call-1.smt2,SAT,0.008937447
query062-call-2.smt2,SAT,0.010795331
query062-call-3.smt2,SAT,0.009580965
query062-call-4.smt2,UNSAT,0.020871955
query065-call-0.smt2,UNSAT,0.409152826
query073-call-0.smt2,UNSAT,0.03152169
query076-call-0.smt2,UNSAT,0.055614128
query082-call-0.smt2,UNSAT,0.012999502
query084-call-0.smt2,UNSAT,0.411367169
query088-call-0.smt2,UNSAT,0.015535681
query089-call-0.smt2,UNSAT,0.045146165
query115-call-0.smt2,UNSAT,0.028032355
query116-call-0.smt2,UNSAT,1.912828783
query120-call-0.smt2,UNSAT,0.01534533
query126-call-0.smt2,SAT,0.008671597
query126-call-1.smt2,SAT,0.005932238
query126-call-2.smt2,SAT,0.008168961
query126-call-3.smt2,SAT,0.006184157
query126-call-4.smt2,SAT,0.006805026
query126-call-5.smt2,SAT,0.005285195
query126-call-6.smt2,SAT,0.006878484
query126-call-7.smt2,SAT,0.005111168
query127-call-0.smt2,UNSAT,0.122409642
query143-call-0.smt2,UNSAT,0.076535955
query148-call-0.smt2,UNSAT,0.030038582
query151-call-0.smt2,UNSAT,0.027255996
query153-call-0.smt2,UNSAT,0.007291613
query156-call-0.smt2,UNSAT,0.014643405
query161-call-0.smt2,UNSAT,0.023723872
query162-call-0.smt2,UNSAT,0.135659851
query172-call-0.smt2,UNSAT,0.011262485
query176-call-0.smt2,SAT,0.043387673
query176-call-1.smt2,UNSAT,0.047636571
query183-call-0.smt2,UNSAT,0.02086073
query185-call-0.smt2,UNSAT,0.023244212
query190-call-0.smt2,UNSAT,0.018513238
query191-call-0.smt2,SAT,0.348321313
query191-call-1.smt2,UNSAT,0.093110576
query193-call-0.smt2,SAT,0.007304977
query193-call-1.smt2,SAT,0.005275264
query193-call-2.smt2,SAT,0.00738399
query193-call-3.smt2,SAT,0.005542587
query193-call-4.smt2,SAT,0.006688747
query193-call-5.smt2,SAT,0.004889008
query193-call-6.smt2,SAT,0.006791856
query193-call-7.smt2,SAT,0.0048241
query195-call-0.smt2,UNSAT,0.011958296
query202-call-0.smt2,UNSAT,0.009057687
query205-call-0.smt2,UNSAT,0.010461883
query207-call-0.smt2,UNSAT,0.039464155
query211-call-0.smt2,SAT,0.354349875
query211-call-1.smt2,UNSAT,0.083142648
query215-call-0.smt2,UNSAT,0.026060694
query218-call-0.smt2,SAT,0.058156403
query218-call-1.smt2,UNSAT,0.084649247
query219-call-0.smt2,UNSAT,0.01555864
query220-call-0.smt2,UNSAT,0.546840416
query222-call-0.smt2,SAT,0.008578258
query222-call-1.smt2,SAT,0.006516772
query222-call-2.smt2,SAT,0.00845817
query222-call-3.smt2,SAT,0.006751088
query222-call-4.smt2,SAT,0.011704562
query222-call-5.smt2,SAT,0.009664704
query222-call-6.smt2,SAT,0.319745242
query222-call-7.smt2,UNSAT,0.223684431
