file,sqlsolver result,sqlsolver duration,cvc5 result,agree
calcite/query013-call-0.smt2,UNSAT,0.020918333,unsat,yes
calcite/query026-call-0.smt2,SAT,0.007925709,crash,n/a
calcite/query026-call-1.smt2,SAT,0.00576175,crash,n/a
calcite/query026-call-2.smt2,SAT,0.007245625,crash,n/a
calcite/query026-call-3.smt2,SAT,0.004782917,crash,n/a
calcite/query026-call-4.smt2,UNSAT,0.152853125,unsat,yes
calcite/query029-call-0.smt2,UNSAT,0.353885417,crash,n/a
calcite/query039-call-0.smt2,UNSAT,0.014934583,unsat,yes
calcite/query040-call-0.smt2,UNSAT,0.019001334,unsat,yes
calcite/query044-call-0.smt2,UNSAT,0.010650125,unsat,yes
calcite/query050-call-0.smt2,UNSAT,0.014920084,timeout,n/a
calcite/query051-call-0.smt2,UNSAT,0.022251,unsat,yes
calcite/query053-call-0.smt2,UNSAT,0.742943292,crash,n/a
calcite/query059-call-0.smt2,UNSAT,0.102540666,sat,NO
calcite/query062-call-0.smt2,SAT,0.017204708,crash,n/a
calcite/query062-call-1.smt2,SAT,0.007683584,crash,n/a
calcite/query062-call-2.smt2,SAT,0.007256542,crash,n/a
calcite/query062-call-3.smt2,SAT,0.007600584,crash,n/a
calcite/query062-call-4.smt2,UNSAT,0.053785542,crash,n/a
calcite/query065-call-0.smt2,UNSAT,0.494528291,crash,n/a
calcite/query073-call-0.smt2,UNSAT,0.062911,unsat,yes
calcite/query076-call-0.smt2,UNSAT,0.119895833,unsat,yes
calcite/query082-call-0.smt2,UNSAT,0.00830825,unsat,yes
calcite/query084-call-0.smt2,UNSAT,0.415861833,crash,n/a
calcite/query088-call-0.smt2,UNSAT,0.013111708,unsat,yes
calcite/query089-call-0.smt2,UNSAT,0.058116959,crash,n/a
calcite/query115-call-0.smt2,UNSAT,0.079195833,crash,n/a
calcite/query116-call-0.smt2,UNSAT,11.917781125,crash,n/a
calcite/query120-call-0.smt2,UNSAT,0.013218583,unsat,yes
calcite/query126-call-0.smt2,SAT,0.005497208,sat,yes
calcite/query126-call-1.smt2,SAT,0.006958833,sat,yes
calcite/query126-call-2.smt2,SAT,0.00784,sat,yes
calcite/query126-call-3.smt2,SAT,0.006515583,sat,yes
calcite/query126-call-4.smt2,SAT,0.006419667,sat,yes
calcite/query126-call-5.smt2,SAT,0.006558416,sat,yes
calcite/query126-call-6.smt2,SAT,0.008582625,sat,yes
calcite/query126-call-7.smt2,SAT,0.016037417,sat,yes
calcite/query127-call-0.smt2,UNSAT,0.230578584,unsat,yes
calcite/query143-call-0.smt2,UNSAT,0.221955166,unsat,yes
calcite/query148-call-0.smt2,UNSAT,0.048778333,crash,n/a
calcite/query151-call-0.smt2,UNSAT,0.031197542,crash,n/a
calcite/query153-call-0.smt2,UNSAT,0.004043041,unsat,yes
calcite/query156-call-0.smt2,UNSAT,0.009561667,unsat,yes
calcite/query161-call-0.smt2,UNSAT,0.028599084,unsat,yes
calcite/query162-call-0.smt2,UNSAT,0.139939542,crash,n/a
calcite/query172-call-0.smt2,UNSAT,0.012012542,unsat,yes
calcite/query176-call-0.smt2,SAT,0.034896208,crash,n/a
calcite/query176-call-1.smt2,UNSAT,0.0547985,crash,n/a
